,age,sl
0,0.07,0.46
1,0.09,-0.3
2,0.12,-0.32
3,0.18,-0.3
4,0.36,-0.04
5,0.37,0.19
6,0.43,-0.24
7,0.44,0.66
8,0.48,-0.64
9,0.59,-0.08
10,0.61,-0.10000000000000002
11,0.64,-0.385
12,0.68,-0.1
13,0.72,-0.11
14,0.73,1.28
15,0.74,0.57
16,0.75,-0.17
17,0.79,0.88
18,0.8,2.34
19,0.82,0.76
20,0.85,-0.55
21,0.87,-0.03
22,0.91,-1.45
23,0.92,-0.415
24,0.98,-1.98
25,1.06,-0.446
26,1.07,0.39
27,1.08,-0.17
28,1.12,-0.245
29,1.13,-0.96
30,1.15,-0.14
31,1.16,0.03
32,1.18,-0.11499999999999999
33,1.19,0.06
34,1.22,0.5800000000000001
35,1.25,-0.30333333333333334
36,1.27,-0.77
37,1.28,-0.3
38,1.29,-0.235
39,1.3,-0.95
40,1.31,-0.24
41,1.34,0.02
42,1.39,-0.01
43,1.41,-0.52
44,1.43,-0.26
45,1.45,-1.93
46,1.46,-0.39
47,1.47,-0.62
48,1.48,-0.18
49,1.49,-0.23
50,1.5,0.5166666666666667
51,1.51,-1.33
52,1.52,0.04
53,1.54,-0.05
54,1.57,-0.3033333333333333
55,1.58,-0.26
56,1.59,0.22
57,1.6,-0.255
58,1.61,0.7
59,1.63,-0.49
60,1.64,-0.21000000000000002
61,1.65,-2.87
62,1.67,-0.63
63,1.7,0.35
64,1.71,-0.46
65,1.72,-0.16
66,1.73,-0.265
67,1.74,0.015000000000000013
68,1.76,-0.11
69,1.77,-0.28
70,1.78,0.04500000000000001
71,1.79,-1.56
72,1.81,-0.93
73,1.82,0.0
74,1.83,-0.14499999999999996
75,1.84,-0.42
76,1.85,0.53
77,1.86,-0.39
78,1.87,-0.03
79,1.88,-0.05999999999999998
80,1.9,-0.15333333333333332
81,1.91,0.54
82,1.92,-0.63
83,1.94,-0.35000000000000003
84,1.95,-0.3933333333333333
85,1.96,-0.1
86,1.97,-0.565
87,2.0,-0.24333333333333332
88,2.01,0.29
89,2.03,-0.15
90,2.06,0.43000000000000005
91,2.07,-1.06
92,2.08,0.33999999999999997
93,2.1,-0.52
94,2.15,-0.2
95,2.18,-0.03
96,2.19,-0.4
97,2.2,-1.79
98,2.21,-0.53
99,2.22,0.024999999999999994
100,2.23,-0.43
101,2.26,0.26
102,2.29,-1.2
103,2.32,-0.03
104,2.34,0.17
105,2.35,0.445
106,2.39,0.825
107,2.42,0.09999999999999999
108,2.44,-0.12
109,2.45,-0.58
110,2.46,-1.69
111,2.47,-0.165
112,2.48,0.37
113,2.49,-1.01
114,2.51,0.14499999999999996
115,2.52,-1.59
116,2.53,-1.2533333333333334
117,2.54,-0.33499999999999996
118,2.56,-0.84
119,2.57,-0.75
120,2.59,-0.94
121,2.61,-0.19000000000000003
122,2.62,-0.63
123,2.64,-0.66
124,2.66,-2.25
125,2.7,-0.28
126,2.71,1.0
127,2.72,-1.52
128,2.73,-0.73
129,2.75,-0.41
130,2.79,-0.52
131,2.8,-0.3433333333333333
132,2.81,-0.675
133,2.83,-0.043333333333333335
134,2.84,-0.024999999999999967
135,2.85,0.495
136,2.88,-1.1
137,2.9,-0.27
138,2.93,-1.26
139,2.94,-0.77
140,2.97,-0.86
141,2.98,-0.6
142,3.0,-0.98
143,3.01,-0.91
144,3.02,-1.0
145,3.03,-0.5
146,3.06,-0.56
147,3.08,-0.43
148,3.13,0.74
149,3.14,-1.77
150,3.17,-0.45999999999999996
151,3.18,-1.2
152,3.19,-1.0
153,3.2,-0.7
154,3.22,-0.19
155,3.23,-0.33499999999999996
156,3.26,-1.165
157,3.27,-1.52
158,3.32,-0.74
159,3.33,-0.71
160,3.35,-1.29
161,3.37,-0.37
162,3.39,-0.09
163,3.41,-0.82
164,3.44,-0.07
165,3.45,-0.24
166,3.46,-0.47
167,3.47,-0.405
168,3.48,-1.72
169,3.49,-1.16
170,3.5,-0.535
171,3.51,-1.16
172,3.54,-1.3
173,3.55,-0.7733333333333334
174,3.56,0.01999999999999999
175,3.58,-0.525
176,3.61,-1.2825
177,3.62,-0.42
178,3.63,-0.64
179,3.64,-0.63
180,3.68,-0.89
181,3.7,-0.5366666666666666
182,3.71,-0.49
183,3.74,0.49
184,3.76,-1.395
185,3.8,-0.54
186,3.82,-1.6600000000000001
187,3.83,-0.37
188,3.86,-1.675
189,3.87,-0.45
190,3.88,-1.19
191,3.89,-0.96
192,3.91,-0.6825000000000001
193,3.92,-0.77
194,3.93,-0.41500000000000004
195,3.94,-0.8350000000000001
196,3.95,-0.94
197,4.01,-2.025
198,4.02,-3.3
199,4.05,-1.19
200,4.09,-2.045
201,4.11,-1.9799999999999998
202,4.12,-2.09
203,4.13,-1.15
204,4.14,-0.73
205,4.15,-0.06
206,4.18,-1.06
207,4.2,-1.17
208,4.21,-1.06
209,4.22,0.020000000000000018
210,4.23,-2.64
211,4.24,-1.0
212,4.26,-0.9
213,4.27,-1.5
214,4.28,-1.846666666666667
215,4.29,-2.25
216,4.3,-0.99
217,4.31,-1.27
218,4.34,-1.15
219,4.37,-1.155
220,4.38,-1.5
221,4.39,-1.5299999999999998
222,4.4,-2.215
223,4.42,-2.26
224,4.43,-1.04
225,4.44,-1.12
226,4.47,-1.195
227,4.48,-2.12
228,4.49,-0.24
229,4.5,0.08
230,4.51,-1.535
231,4.53,-1.09
232,4.57,-1.78
233,4.58,-1.53
234,4.59,-0.99
235,4.6,0.0
236,4.61,-0.6
237,4.62,-0.84
238,4.65,-1.865
239,4.66,-2.27
240,4.67,-1.5566666666666666
241,4.68,-0.5275000000000001
242,4.7,-0.96
243,4.71,-0.95
244,4.75,-0.64
245,4.78,-0.95
246,4.8,-2.41
247,4.81,-2.0
248,4.82,0.44
249,4.84,-2.03
250,4.85,-0.81
251,4.87,-4.74
252,4.95,-1.64
253,4.96,-3.11
254,5.03,-0.55
255,5.06,-2.525
256,5.07,-1.9649999999999999
257,5.08,-2.23
258,5.1,-2.9899999999999998
259,5.11,-0.87
260,5.13,-2.42
261,5.14,-0.88
262,5.15,-2.75
263,5.16,-1.27
264,5.18,-3.71
265,5.21,-2.06
266,5.24,-2.86
267,5.25,-1.59
268,5.26,-1.31
269,5.27,-2.71
270,5.32,-3.37
271,5.33,-1.9300000000000002
272,5.37,-1.5
273,5.41,-2.48
274,5.42,-2.18
275,5.43,-3.46
276,5.44,-2.52
277,5.45,-1.77
278,5.46,-2.165
279,5.47,-1.585
280,5.48,-2.37
281,5.5,-2.986666666666667
282,5.56,-1.745
283,5.6,-2.63
284,5.63,-1.71
285,5.68,-1.66
286,5.69,-1.76
287,5.71,-1.8399999999999999
288,5.74,-1.85
289,5.75,-0.99
290,5.76,-3.0700000000000003
291,5.77,-1.9466666666666665
292,5.78,-2.23
293,5.79,-3.01
294,5.81,-3.21
295,5.82,-0.87
296,5.85,-3.075
297,5.86,-2.05
298,5.89,-2.68
299,5.9,-2.94
300,5.92,-1.84
301,5.94,-2.715
302,5.95,-1.935
303,5.96,-2.8
304,5.97,-2.81
